TDIFF,X,Y,BPP,NBITS
16358,1,1,24,24
10384422,32,24,24,18432
59715666,130,68,8,70720
73701662,110,110,8,96800
129768894,100,100,24,240000
137425310,100,213,8,170400
114421858,120,156,8,149760
199631390,124,124,24,369024
97257474,128,128,8,131072
91648978,124,124,8,123008
172329342,100,130,24,312000
107052398,140,105,8,117600
82725510,128,96,8,98304
80842874,130,92,8,95680
177950374,130,92,24,287040
79379530,120,100,8,96000
59127902,100,100,8,80000
