DTOP,DBTM,READ,X,Y,BPP,NBYTES,F
0,283641,22,130,68,8,8840,2
0,393997,22,128,96,8,12288,6
0,682376,22,100,213,8,21300,12
0,599859,22,120,156,8,18720,11
0,525130,22,128,128,8,16384,10
0,492811,22,124,124,8,15376,9
0,471156,22,140,105,8,14700,8
0,387982,22,110,110,8,12100,7
0,383541,22,130,92,8,11960,5
0,384796,22,120,100,8,12000,4
0,320856,22,100,100,8,10000,3
