ID,SEC,NSEC,X,Y,BPP
1,0,535333,1,1,24
2,0,118287568,32,24,24
3,1,107158459,130,68,8
4,0,965444191,100,100,8
5,1,78052467,120,100,8
6,1,864396841,130,92,8
7,0,971997255,128,96,8
8,0,928617502,110,110,24
9,1,244665653,140,105,8
10,1,311864047,124,124,8
11,1,595635248,128,128,8
12,2,77508190,120,156,08
13,2,265283700,100,213,08
18,2,80381303,100,100,24
19,2,402430114,130,92,24
20,2,970483393,100,130,24
23,3,731707905,124,124,24
