DTOP,DBTM,READ,X,Y,BPP,NBYTES,F
0,37107506,22,130,68,8,8840,2
0,51750268,22,128,96,8,12288,6
0,87997130,22,100,213,8,21300,12
0,78671145,22,120,156,8,18720,11
0,65967751,22,128,128,8,16384,10
0,63362946,22,124,124,8,15376,9
0,61668304,22,140,105,8,14700,8
0,51037924,22,110,110,8,12100,7
0,49573470,22,130,92,8,11960,5
0,50504540,22,120,100,8,12000,4
0,42211580,22,100,100,8,10000,3
