ID,SEC,NSEC,X,Y,BPP
1,0,349911,1,1,24
2,0,245213246,32,24,24
3,1,403447310,130,68,8
4,1,393582576,100,100,8
5,1,728053980,120,100,8
6,1,992967220,130,92,8
7,2,30297117,128,96,8
8,1,820432981,110,110,24
9,1,941688909,140,105,8
10,1,787338489,124,124,8
11,1,790382678,128,128,8
12,1,865858306,120,156,8
13,1,940371086,100,213,8
18,1,232037074,100,100,24
19,2,665019888,130,92,24
20,2,582933202,100,130,24
23,2,586504942,124,124,24
